,fp,fn,percentage,delta,corpus,mfw
43,0.0036036036036036037,0.003963963963963964,0.44,0.15880000000000005,German,10000
44,0.004324324324324324,0.002882882882882883,0.45,0.1665000000000001,German,10000
47,0.003963963963963964,0.003963963963963964,0.48,0.2108,German,4000
47,0.003963963963963964,0.003963963963963964,0.48,0.2108,German,4000
46,0.0036036036036036037,0.0036036036036036037,0.47,0.19829999999999998,German,6000
46,0.0036036036036036037,0.0036036036036036037,0.47,0.19829999999999998,German,6000
74,0.007207207207207207,0.009369369369369369,0.75,0.5074999999999998,German,50
75,0.007927927927927928,0.006846846846846847,0.76,0.5231999999999999,German,50
86,0.013693693693693694,0.018738738738738738,0.87,0.7291000000000001,German,10
87,0.015495495495495495,0.015135135135135135,0.88,0.7484,German,10
69,0.006486486486486486,0.006486486486486486,0.7,0.4790000000000001,German,100
69,0.006486486486486486,0.006486486486486486,0.7,0.4790000000000001,German,100
48,0.003243243243243243,0.004324324324324324,0.49,0.2249,German,3000
49,0.0036036036036036037,0.003243243243243243,0.5,0.235,German,3000
46,0.0036036036036036037,0.0036036036036036037,0.47,0.20239999999999997,German,5000
46,0.0036036036036036037,0.0036036036036036037,0.47,0.20239999999999997,German,5000
42,0.003243243243243243,0.005045045045045045,0.43,0.15400000000000003,German,9000
43,0.003963963963963964,0.0036036036036036037,0.44,0.16200000000000003,German,9000
44,0.003243243243243243,0.005045045045045045,0.45,0.16900000000000004,German,8000
45,0.003963963963963964,0.003243243243243243,0.46,0.17720000000000002,German,8000
44,0.003243243243243243,0.005405405405405406,0.45,0.17700000000000005,German,7000
45,0.004324324324324324,0.003243243243243243,0.46,0.18560000000000004,German,7000
62,0.0036036036036036037,0.0036036036036036037,0.63,0.36639999999999995,German,500
62,0.0036036036036036037,0.0036036036036036037,0.63,0.36639999999999995,German,500
53,0.003243243243243243,0.0036036036036036037,0.54,0.26860000000000006,German,2000
54,0.0036036036036036037,0.003243243243243243,0.55,0.2795000000000001,German,2000
56,0.002882882882882883,0.003963963963963964,0.57,0.30400000000000005,German,1000
57,0.003963963963963964,0.0036036036036036037,0.58,0.31600000000000006,German,1000
